192.168.1.104 - - [17/Dec/2013:10:52:00 +0530] "GET /store/_ui/desktop/common/blueprint/print.css HTTP/1.1" 200 1336 "http://192.168.1.111:9001/store/electronics/en/?site=electronics&clear=true" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:00 +0530] "GET /store/_ui/desktop/common/js/jquery-1.7.2.min.js HTTP/1.1" 200 94840 "http://192.168.1.111:9001/store/electronics/en/?site=electronics&clear=true" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:00 +0530] "GET /store/_ui/desktop/theme-blue/css/changes.css HTTP/1.1" 200 142885 "http://192.168.1.111:9001/store/electronics/en/?site=electronics&clear=true" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:00 +0530] "GET /store/_ui/desktop/theme-blue/images/bg-gradient-page.png HTTP/1.1" 200 1241 "http://192.168.1.111:9001/store/_ui/desktop/theme-blue/css/changes.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:00 +0530] "GET /store/_ui/desktop/theme-blue/images/bg-gradient-header.png HTTP/1.1" 200 3994 "http://192.168.1.111:9001/store/_ui/desktop/theme-blue/css/changes.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:00 +0530] "GET /medias/logo-hybris.png?context=bWFzdGVyOjo6aW1hZ2VzOjo6NDUwNDo6OmltYWdlL3BuZzo6OmltYWdlcy9oZWUvaDY4Lzg3OTY2NDMwMzMxMTgucG5nOjo6OTJiNDMwNGFlNzVjNTJkZThlZjhjY2U0ZGI1OWM4MDAxYjA4NDZkMzJkMzUwY2ZkNWNhMWM2M2Q0ZWYwMDM3MA HTTP/1.1" 200 4504 "http://192.168.1.111:9001/store/electronics/en/?site=electronics&clear=true" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:00 +0530] "GET /store/_ui/desktop/theme-blue/images/header_01.png HTTP/1.1" 200 27805 "http://192.168.1.111:9001/store/_ui/desktop/theme-blue/css/changes.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:00 +0530] "GET /store/_ui/desktop/theme-blue/images/icon-your-cart.png HTTP/1.1" 200 1292 "http://192.168.1.111:9001/store/electronics/en/?site=electronics&clear=true" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:00 +0530] "GET /store/_ui/desktop/theme-blue/images/button/search.png HTTP/1.1" 200 1294 "http://192.168.1.111:9001/store/electronics/en/?site=electronics&clear=true" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:01 +0530] "GET /store/_ui/desktop/theme-blue/images/bg-gradient-nav.png HTTP/1.1" 200 943 "http://192.168.1.111:9001/store/_ui/desktop/theme-blue/css/changes.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:01 +0530] "GET /store/_ui/desktop/theme-blue/images/bg-gradient-input.png HTTP/1.1" 200 958 "http://192.168.1.111:9001/store/_ui/desktop/theme-blue/css/changes.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:01 +0530] "GET /store/_ui/desktop/theme-blue/images/bg-gradient-nav-item.png HTTP/1.1" 200 1089 "http://192.168.1.111:9001/store/_ui/desktop/theme-blue/css/changes.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
192.168.1.104 - - [17/Dec/2013:10:52:01 +0530] "GET /store/_ui/desktop/theme-blue/images/bg-gradient-select.png HTTP/1.1" 200 958 "http://192.168.1.111:9001/store/_ui/desktop/theme-blue/css/changes.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0"
