STATUS | wrapper  | main    | 2014/02/04 15:52:32.541 | --> Wrapper Started as Console
STATUS | wrapper  | main    | 2014/02/04 15:52:32.543 | Java Service Wrapper Standard Edition 64-bit 3.5.17
STATUS | wrapper  | main    | 2014/02/04 15:52:32.543 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2014/02/04 15:52:32.544 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2014/02/04 15:52:32.544 |   Licensed to hybris software - www.hybris.com for hybris Platform
STATUS | wrapper  | main    | 2014/02/04 15:52:32.544 | 
STATUS | wrapper  | main    | 2014/02/04 15:52:32.848 | Launching a JVM...
INFO   | jvm 1    | main    | 2014/02/04 15:52:33.250 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.071 | Feb 04, 2014 3:52:34 PM org.apache.coyote.http11.Http11Protocol init
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.072 | INFO: Initializing Coyote HTTP/1.1 on http-9001
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.553 | Feb 04, 2014 3:52:34 PM org.apache.coyote.http11.Http11Protocol init
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.553 | INFO: Initializing Coyote HTTP/1.1 on http-9002
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.553 | Feb 04, 2014 3:52:34 PM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.553 | INFO: Initialization processed in 1003 ms
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.553 | Feb 04, 2014 3:52:34 PM org.apache.catalina.realm.JAASRealm setContainer
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.553 | INFO: Set JAAS app name Catalina
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.754 | Feb 04, 2014 3:52:34 PM org.apache.catalina.mbeans.JmxRemoteLifecycleListener createServer
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.754 | INFO: The JMX Remote Listener has configured the registry on port 9003 and the server on port 9004 for the Platform server
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.755 | Feb 04, 2014 3:52:34 PM org.apache.catalina.core.StandardService start
INFO   | jvm 1    | main    | 2014/02/04 15:52:34.755 | INFO: Starting service Catalina
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.267 | [0;32mINFO  [WrapperSimpleAppMain] [AbstractTenant] Created master data source DataSourceImpl<<master/master>>
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.368 | [m[0;32mINFO  [WrapperSimpleAppMain] [DefaultBroadcastService] Started message broadcast service:
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.368 | clustering (enabled:false)
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.368 | sending synchronously - no queue
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.368 | methods [<loopback>::de.hybris.platform.cluster.LoopBackBroadcastMethod@27a1daf1]
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.569 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.569 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.569 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.570 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Starting up hybris server
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.570 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.570 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Configuration:
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.570 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.570 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Cluster:     disabled
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.571 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Tenant:      master
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.571 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] OS:          Linux 3.2.0-29-generic, amd64
INFO   | jvm 1    | main    | 2014/02/04 15:52:43.571 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Database:    Pool: hybris - hsqldb, table prefix: 
