INFO   | jvm 1    | main    | 2014/01/22 11:19:03.800 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] hmc 5.0.0.0 [ciw] path:/home/admin1/hybris/bin/ext-platform/hmc
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.802 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] yaddon->hmc 5.0.0.0 [cibwh] path:/home/admin1/hybris/bin/ext-template/yaddon
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.804 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] voucher->hmc 5.0.0.0 [cih] path:/home/admin1/hybris/bin/ext-commerce/voucher
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.806 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] solrfacetsearchhmc->(solrfacetsearch,hmc) 5.0.0.0 [cibh] path:/home/admin1/hybris/bin/ext-commerce/solrfacetsearchhmc
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.808 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] promotions->(voucher,hmc) 5.0.0.0 [cih] path:/home/admin1/hybris/bin/ext-commerce/promotions
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.810 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] customerreview->hmc 5.0.0.0 [cih] path:/home/admin1/hybris/bin/ext-commerce/customerreview
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.812 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] basecommerce->hmc 5.0.0.0 [cibh] path:/home/admin1/hybris/bin/ext-commerce/basecommerce
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.814 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] cms2->(basecommerce,hmc) 5.0.0.0 [cih] path:/home/admin1/hybris/bin/ext-content/cms2
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.816 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] cms2lib->cms2 5.0.0.0 [ci] path:/home/admin1/hybris/bin/ext-content/cms2lib
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.818 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] btg->(cms2,hmc) 5.0.0.0 [cih] path:/home/admin1/hybris/bin/ext-commerce/btg
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.820 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ticketsystem->(basecommerce,hmc) 5.0.0.0 [cih] path:/home/admin1/hybris/bin/ext-commerce/ticketsystem
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.822 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] payment->(basecommerce,hmc) 5.0.0.0 [cih] path:/home/admin1/hybris/bin/ext-commerce/payment
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.824 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] lucenesearchhmc->(lucenesearch,hmc) 5.0.0.0 [h] path:/home/admin1/hybris/bin/ext-platform-optional/lucenesearchhmc
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.827 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] platformhmc->(ldap,hmc) 5.0.0.0 [cibh] path:/home/admin1/hybris/bin/ext-platform/platformhmc
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.829 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] commerceservices->(solrfacetsearch,payment,platformhmc,basecommerce,customerreview,promotions,hmc) 5.0.0.0 [cibh] path:/home/admin1/hybris/bin/ext-commerce/commerceservices
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.832 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] acceleratorservices->(cms2,hmc,commerceservices) 5.0.0.0 [cibwh] path:/home/admin1/hybris/bin/ext-accelerator/acceleratorservices
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.833 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] yacceleratorfulfilmentprocess->(acceleratorservices,ticketsystem) 5.0.0.0 [ci] path:/home/admin1/hybris/bin/ext-template/yacceleratorfulfilmentprocess
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.835 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] acceleratorsampledata->acceleratorservices 5.0.0.0 [c] path:/home/admin1/hybris/bin/ext-data/acceleratorsampledata
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.837 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] acceleratorcms->(acceleratorservices,cms2,hmc,cms2lib) 5.0.0.0 [cibh] path:/home/admin1/hybris/bin/ext-accelerator/acceleratorcms
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.840 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] merchandisecore->(acceleratorservices,yacceleratorfulfilmentprocess,acceleratorcms,hmc) 5.0.0.0 [cih] path:/home/admin1/hybris/bin/custom/merchandise/merchandisecore
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.843 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] merchandiseinitialdata->(acceleratorsampledata,merchandisecore) 5.0.0.0 [c] path:/home/admin1/hybris/bin/custom/merchandise/merchandiseinitialdata
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.845 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] commercefacades->commerceservices 5.0.0.0 [cb] path:/home/admin1/hybris/bin/ext-commerce/commercefacades
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.847 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] ycommercewebservices->(commercefacades,commerceservices) 5.0.0.0 [cbw] path:/home/admin1/hybris/bin/ext-template/ycommercewebservices
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.849 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] acceleratorfacades->(acceleratorservices,acceleratorcms,commercefacades) 5.0.0.0 [cb] path:/home/admin1/hybris/bin/ext-accelerator/acceleratorfacades
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.851 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] merchandisefacades->(merchandisecore,acceleratorfacades) 5.0.0.0 [cb] path:/home/admin1/hybris/bin/custom/merchandise/merchandisefacades
INFO   | jvm 1    | main    | 2014/01/22 11:19:03.854 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] merchandisetest->(merchandisefacades,merchandiseinitialdata) 5.0.0.0 [c] path:/home/admin1/hybris/bin/custom/merchandise/merchandisetest
