STATUS | wrapper  | main    | 2013/12/13 17:58:10.624 | --> Wrapper Started as Console
STATUS | wrapper  | main    | 2013/12/13 17:58:10.625 | Java Service Wrapper Standard Edition 64-bit 3.5.17
STATUS | wrapper  | main    | 2013/12/13 17:58:10.625 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2013/12/13 17:58:10.625 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2013/12/13 17:58:10.625 |   Licensed to hybris software - www.hybris.com for hybris Platform
STATUS | wrapper  | main    | 2013/12/13 17:58:10.625 | 
STATUS | wrapper  | main    | 2013/12/13 17:58:10.929 | Launching a JVM...
INFO   | jvm 1    | main    | 2013/12/13 17:58:11.231 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2013/12/13 17:58:11.739 | Dec 13, 2013 5:58:11 PM org.apache.coyote.http11.Http11Protocol init
INFO   | jvm 1    | main    | 2013/12/13 17:58:11.740 | INFO: Initializing Coyote HTTP/1.1 on http-9001
INFO   | jvm 1    | main    | 2013/12/13 17:58:11.940 | Dec 13, 2013 5:58:11 PM org.apache.coyote.http11.Http11Protocol init
INFO   | jvm 1    | main    | 2013/12/13 17:58:11.940 | INFO: Initializing Coyote HTTP/1.1 on http-9002
INFO   | jvm 1    | main    | 2013/12/13 17:58:11.940 | Dec 13, 2013 5:58:11 PM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | main    | 2013/12/13 17:58:11.941 | INFO: Initialization processed in 552 ms
INFO   | jvm 1    | main    | 2013/12/13 17:58:11.941 | Dec 13, 2013 5:58:11 PM org.apache.catalina.realm.JAASRealm setContainer
INFO   | jvm 1    | main    | 2013/12/13 17:58:11.941 | INFO: Set JAAS app name Catalina
INFO   | jvm 1    | main    | 2013/12/13 17:58:12.041 | Dec 13, 2013 5:58:11 PM org.apache.catalina.mbeans.JmxRemoteLifecycleListener createServer
INFO   | jvm 1    | main    | 2013/12/13 17:58:12.041 | INFO: The JMX Remote Listener has configured the registry on port 9003 and the server on port 9004 for the Platform server
INFO   | jvm 1    | main    | 2013/12/13 17:58:12.042 | Dec 13, 2013 5:58:11 PM org.apache.catalina.core.StandardService start
INFO   | jvm 1    | main    | 2013/12/13 17:58:12.042 | INFO: Starting service Catalina
INFO   | jvm 1    | main    | 2013/12/13 17:58:13.944 | [0;32mINFO  [WrapperSimpleAppMain] [AbstractTenant] Created master data source DataSourceImpl<<master/master>>
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.044 | [m[0;32mINFO  [WrapperSimpleAppMain] [DefaultBroadcastService] Started message broadcast service:
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.045 | clustering (enabled:false)
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.045 | sending synchronously - no queue
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.045 | methods [<loopback>::de.hybris.platform.cluster.LoopBackBroadcastMethod@5aead4b3]
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.245 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.245 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.246 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.246 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Starting up hybris server
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.246 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.246 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Configuration:
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.246 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] 
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.246 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Cluster:     disabled
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.247 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] Tenant:      master
INFO   | jvm 1    | main    | 2013/12/13 17:58:14.247 | [m[0;32mINFO  [WrapperSimpleAppMain] [hybrisserver] OS:          Linux 3.2.0-29-generic, amd64
